Date,Close,High,Low,Open,Volume,DXY,Gold/Copper Ratio,CPI,Unemployment Rate,Ret_t+5
2010-01-04,89.80999755859375,90.0999984741211,89.58000183105469,89.83999633789062,2829100,77.52999877929688,329.8996302823121,0.00020873926476345863,0.007657651344706061,-0.011245902842576094
2010-01-05,90.38999938964844,90.62999725341797,90.0,90.05000305175781,2841600,77.62000274658203,329.24028437243396,0.00020873926476345863,0.007657651344706061,-0.0007744185783481461
2010-01-06,89.18000030517578,90.26000213623047,89.12000274658203,90.16999816894531,4099600,77.48999786376953,326.64271369503757,0.00020873926476345863,0.007657651344706061,0.0010091538190475369
2010-01-07,89.33000183105469,89.63999938964844,89.12000274658203,89.22000122070312,2793200,77.91000366210938,332.1412818959543,0.00020873926476345863,0.007657651344706061,0.013321334239557059
2010-01-08,89.29000091552734,89.55999755859375,88.76000213623047,89.51000213623047,2910700,77.47000122070312,335.9503976762774,0.00020873926476345863,0.007657651344706061,0.020047047790051842
2010-01-11,88.80000305175781,89.36000061035156,88.7699966430664,88.98999786376953,2181300,77.0,335.6278174995276,0.00020873926476345863,0.007657651344706061,0.022747709162679097
2010-01-12,90.31999969482422,90.38999938964844,89.83999633789062,90.16000366210938,4321200,76.94999694824219,338.24718866106275,0.00020873926476345863,0.007657651344706061,0.015721857548087304
2010-01-13,89.2699966430664,90.27999877929688,89.22000122070312,89.93000030517578,4755000,76.8499984741211,335.4686371712683,0.00020873926476345863,0.007657651344706061,0.03237377761531968
2010-01-14,90.5199966430664,90.5199966430664,89.54000091552734,89.69000244140625,4188800,76.7300033569336,338.4478673330523,0.00020873926476345863,0.007657651344706061,0.016350015596768852
2010-01-15,91.08000183105469,91.33000183105469,90.9800033569336,91.02999877929688,4142800,77.31999969482422,336.84052732077924,0.00020873926476345863,0.007657651344706061,0.0054896792923593285
2010-01-19,90.81999969482422,91.12000274658203,90.41999816894531,90.72000122070312,2496000,77.5,331.59730554405394,0.00020873926476345863,0.007657651344706061,0.008698534663971857
2010-01-20,91.73999786376953,91.7699966430664,91.2699966430664,91.31999969482422,2800500,78.33999633789062,332.42679719407124,0.00020873926476345863,0.007657651344706061,-0.001962070082485501
2010-01-21,92.16000366210938,92.38999938964844,91.45999908447266,91.55000305175781,4363100,78.31999969482422,335.6772975222105,0.00020873926476345863,0.007657651344706061,-0.0070529676654749185
2010-01-22,92.0,92.30999755859375,91.7699966430664,92.08999633789062,3666900,78.27999877929688,326.25428896345875,0.00020873926476345863,0.007657651344706061,0.0033695386803669347
2010-01-25,91.58000183105469,91.91999816894531,91.48999786376953,91.54000091552734,2419500,78.19000244140625,323.64064148969334,0.00020873926476345863,0.007657651344706061,-0.004695351567791439
2010-01-26,91.61000061035156,92.11000061035156,91.30999755859375,92.0199966430664,3138100,78.43000030517578,329.79874607153647,0.00020873926476345863,0.007657651344706061,-0.00218313444940188
2010-01-27,91.55999755859375,92.08999633789062,91.37000274658203,91.75,3325700,78.68000030517578,337.34641192827195,0.00020873926476345863,0.007657651344706061,-0.013215368247452397
2010-01-28,91.51000213623047,91.69999694824219,91.05999755859375,91.12999725341797,3058200,78.9000015258789,350.67961349029457,0.00020873926476345863,0.007657651344706061,0.0029504604607533125
2010-01-29,92.30999755859375,92.36000061035156,91.25,91.41000366210938,4930600,79.45999908447266,355.5482595678565,0.00020873926476345863,0.007657651344706061,-0.0035748479080035533
2010-02-01,91.1500015258789,91.7300033569336,91.05000305175781,91.70999908447266,3598500,79.23999786376953,358.71367133242177,0.00020873926476345863,0.007657651344706061,0.010422347036082913
2010-02-02,91.41000366210938,91.44999694824219,91.04000091552734,91.18000030517578,3047500,79.01000213623047,362.20421737344185,0.00020873926476345863,0.007657651344706061,-0.00251617271325999
2010-02-03,90.3499984741211,90.97000122070312,90.2699966430664,90.80999755859375,5343700,79.37000274658203,374.4609328496628,0.00020873926476345863,0.007657651344706061,-0.0004427328854775814
2010-02-04,91.77999877929688,91.81999969482422,90.9000015258789,90.98999786376953,6095000,79.91999816894531,369.4661929415331,0.00020873926476345863,0.007657651344706061,-0.021355405431916163
2010-02-05,91.9800033569336,92.41999816894531,91.20999908447266,91.37000274658203,6875800,80.44000244140625,368.67551416209653,0.00020873926476345863,0.007657651344706061,-0.01946076158076604
2010-02-08,92.0999984741211,92.1500015258789,91.6500015258789,91.87000274658203,3386000,80.30000305175781,366.28286433691403,0.00020873926476345863,0.007657651344706061,-0.018892485261641445
2010-02-09,91.18000030517578,92.22000122070312,91.13999938964844,91.73999786376953,4790000,79.86000061035156,360.8848499397381,0.00020873926476345863,0.007657651344706061,-0.020289520376499448
2010-02-10,90.30999755859375,91.5999984741211,90.19999694824219,91.31999969482422,5068000,80.02999877929688,360.2813217810778,0.00020873926476345863,0.007657651344706061,-0.014837740827323476
2010-02-11,89.81999969482422,90.27999877929688,89.37999725341797,90.19999694824219,5087500,79.98999786376953,349.64051185449665,0.00020873926476345863,0.007657651344706061,-0.004119380403464379
2010-02-12,90.19000244140625,90.41999816894531,89.94999694824219,90.30999755859375,2833800,80.31999969482422,353.8486525981895,0.00020873926476345863,0.007657651344706061,-0.012307357581819556
2010-02-16,90.36000061035156,90.44000244140625,89.7300033569336,89.7300033569336,2440900,79.69999694824219,347.77072673111263,0.00020873926476345863,0.007657651344706061,0.0012173595574207496
